Year,Series,Type of Product,Value
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.091
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.051
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00664
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.003
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.299
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,0.103
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.009
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,4.44
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,6.655
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.042
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,5.45295
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.01048
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.57
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.00897
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.049
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,5.44786
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,3.649
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,6.654
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.005
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.517
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.002
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00675
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.053
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.096
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.098
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,12.416
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,3.54699
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,0.117
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.633
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.102
2022,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.095
2022,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.296
2022,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,6.1
2022,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,3.382
2022,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,11.104
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",GAS,0.00149
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",PET,-0.02763
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",COL,0.0003
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",BIM,0.06664
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",CRO,0.03534
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",CPR,0.0
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",GBO,0.00577
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",WOD,0.00286
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",MEO,0.01082
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",FEO,0.0037
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",WCH,0.00048
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMA,0.00054
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMC,0.24173
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",ALP,0.34871
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMM,0.28027
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",FOF,-0.02308
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NFO,0.00031
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",ONT,0.00035
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",GBO,0.00694
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",CPR,0.0
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",CRO,0.03449
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",BIM,0.06482
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",WCH,0.00122
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",COL,0.00028
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",GAS,0.00272
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMA,0.00041
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",FEO,0.00012
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",MEO,0.00778
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",WOD,0.00288
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",ONT,0.0
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NFO,0.0002
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",FOF,0.09844
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMM,0.27661
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",PET,0.09387
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",ALP,0.45731
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMC,0.24189
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMA,0.00092
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",GAS,0.00294
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMC,0.2269
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",WCH,0.0018
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",BIM,0.07045
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",CRO,0.03526
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",GBO,0.00613
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",WOD,0.00249
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",MEO,0.00532
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",ALP,0.50026
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMM,0.26132
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",FOF,0.15549
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NFO,3e-05
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",ONT,0.00035
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",COL,0.00029
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",PET,0.15049
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",CPR,0.0
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",FEO,0.00021
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",BIM,0.062
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",WCH,0.00213
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",COL,0.0003
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",ONT,0.0
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",FOF,0.11566
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NFO,0.00013
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMM,0.19504
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",MEO,0.01525
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",FEO,0.00033
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",CPR,3e-05
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",WOD,0.00242
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",GBO,0.00542
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",CRO,0.03512
