Year,Series,Units,Type of Product,Value
2012,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,54602.0
2012,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Metal ores,47435.0
2012,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Ferrous ores,1845.0
2012,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,15997.0
2012,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,259.0
2012,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,2328369.0
2012,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,8181.0
2012,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Total or no breakdown,4457425.0
2012,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Crop residues,0.0
2012,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wood,22145.0
2012,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Petroleum,1340905.0
2012,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,3156.0
2012,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Coal,2541.0
2012,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Natural gas,26199.0
2012,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Fossil fuels,1385466.0
2012,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,2021735.0
2013,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Petroleum,1104852.0
2013,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Total or no breakdown,3722051.0
2013,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,10549.0
2013,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,1832948.0
2013,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Ferrous ores,3120.0
2013,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Biomass,582694.0
2013,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,1216.0
2013,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,20007.0
2013,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Metal ores,143281.0
2013,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,50894.0
2013,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,1571615.0
2013,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Fossil fuels,1086995.0
2013,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Natural gas,19718.0
2013,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,0.0
2013,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Coal,2823.0
2013,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Crops,330025.0
2013,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wood,22755.0
2013,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Crop residues,285.0
2014,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Ferrous ores,15531.0
2014,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,1866277.0
2014,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,16517.0
2014,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Total or no breakdown,5156416.0
2014,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,0.0
2014,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Coal,3046.0
2014,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Fossil fuels,2462954.0
2014,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,1561666.0
2014,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Petroleum,2461113.0
2014,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Natural gas,19069.0
2014,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Crops,336778.0
2014,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Biomass,596970.0
2014,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wood,23190.0
2014,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,51151.0
2014,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Crop residues,451.0
2014,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Metal ores,130694.0
2014,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,19681.0
2014,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,2044.0
2015,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Biomass,634108.0
2015,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wood,26578.0
2015,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,30461.0
2015,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Metal ores,473893.0
2015,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Crop residues,23.0
2015,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,56205.0
2015,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Crops,330900.0
2015,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Natural gas,22424.0
2015,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Fossil fuels,2477279.0
2015,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,2059895.0
2015,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,0.0
2015,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Coal,2811.0
2015,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Petroleum,2450698.0
2015,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Total or no breakdown,6144233.0
2015,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,15520.0
2015,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,2414795.0
2015,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Ferrous ores,77571.0
2015,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,838.0
2016,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Crops,356530.0
2016,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,56098.0
2016,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Crop residues,357.0
2016,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,1920418.0
2016,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,0.0
2016,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Fossil fuels,2736418.0
2016,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Natural gas,18132.0
2016,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Metal ores,199276.0
2016,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wood,28529.0
2016,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,47133.0
2016,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,3804.0
2016,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Biomass,673318.0
2016,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Ferrous ores,-18468.0
2016,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,2266000.0
2016,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,9378.0
2016,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Total or no breakdown,6184799.0
2016,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Petroleum,2704594.0
2016,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Coal,5094.0
2017,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Natural gas,21989.0
2017,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Fossil fuels,1997838.0
2017,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,0.0
2017,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Coal,3238.0
2017,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Petroleum,1948226.0
2017,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Total or no breakdown,5329227.0
2017,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,59303.0
2017,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,1710121.0
2017,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,6015.0
2017,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,2114186.0
2017,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Ferrous ores,-61711.0
2017,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,32889.0
2017,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Biomass,683278.0
2017,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wood,31513.0
2017,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,60842.0
2017,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Metal ores,386394.0
2017,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Crop residues,257.0
2017,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Crops,295973.0
2018,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,48769.0
2018,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Crops,318170.0
2018,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Crop residues,221.0
2018,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Metal ores,259635.0
2018,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,112154.0
2018,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wood,27140.0
2018,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Biomass,717075.0
2018,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Ferrous ores,-86284.0
2018,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,3185.0
2018,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,2557903.0
2018,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,5393.0
2018,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Total or no breakdown,6303384.0
2018,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Petroleum,2357830.0
2018,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Coal,2759.0
2018,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,0.0
2018,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,2061697.0
2018,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Fossil fuels,2413294.0
2018,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Natural gas,28715.0
2019,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,0.0
2019,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Coal,2728.0
2019,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Petroleum,1772821.0
2019,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Total or no breakdown,6004836.0
2019,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,4903.0
2019,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,2697598.0
2019,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,3277959.0
2019,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,4041.0
2019,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Ferrous ores,29710.0
2019,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Biomass,676933.0
2019,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Natural gas,27812.0
2019,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Fossil fuels,1812461.0
2019,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wood,30116.0
2019,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,40729.0
2019,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Metal ores,148466.0
2019,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Crop residues,110.0
2019,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Crops,320841.0
2019,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,44611.0
2020,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wood,26312.0
2020,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Biomass,623587.0
2020,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Ferrous ores,53207.0
2020,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,4393.0
2020,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,3429427.0
2020,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,2810223.0
2020,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,5399.0
2020,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Total or no breakdown,6594235.0
2020,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Petroleum,2211310.0
2020,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Coal,3420.0
2020,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,46694.0
2020,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Crops,293618.0
2020,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Crop residues,1439.0
2020,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Metal ores,154099.0
2020,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,45745.0
2020,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Fossil fuels,2288051.0
2020,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,0.0
2020,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Natural gas,21591.0
2021,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,3450215.0
2021,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Ferrous ores,60674.0
2021,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Biomass,571578.0
2021,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wood,27487.0
2021,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,50611.0
2021,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,2399.0
2021,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Metal ores,328135.0
2021,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Crop residues,1241.0
2021,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Crops,267892.0
2021,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,49956.0
2021,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Natural gas,25439.0
2021,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,0.0
2021,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Fossil fuels,1892394.0
2021,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Coal,3554.0
2021,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Petroleum,1868372.0
2021,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Total or no breakdown,6438325.0
2021,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,4724.0
2021,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,2869651.0
2022,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Metal ores,157259.0
2022,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Biomass,581708.0
2022,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,3239610.0
2022,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Total or no breakdown,5897275.0
2022,"Domestic material consumption, by type of raw material (tonnes)",Tonnes,Fossil fuels,1795999.0
