Year,Series,Units,Type of Product,Value
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crops,0.744
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,0.126
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crop residues,0.0
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,0.068
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Biomass,1.425
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,0.0
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,0.03399
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,4.51159
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Natural gas,0.05
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Total or no breakdown,13.806
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Petroleum,5.36752
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wood,0.06
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Ferrous ores,0.174
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Coal,0.01089
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Fossil fuels,6.009
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Ferrous ores,-0.041
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wood,0.063
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Petroleum,5.78269
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Total or no breakdown,13.582
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Natural gas,0.04
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,4.10605
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,0.02005
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,0.0
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Biomass,1.479
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,0.104
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,0.123
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crop residues,0.001
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crops,0.783
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,0.008
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Metal ores,0.438
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,4.976
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Petroleum,4.06306
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wood,0.067
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Fossil fuels,4.269
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Coal,0.00675
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,4.518
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Metal ores,0.826
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Ferrous ores,-0.132
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,0.07
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,0.127
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crops,0.632
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crop residues,0.001
