Year,Series,Type of Product,Value
2006,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,1.6306
2006,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.072
2006,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.6
2006,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.033
2006,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.1
2006,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.001
2006,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.79
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.001
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.112
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.072
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.261
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.061
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.036
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,8.907
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.53
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.899
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,-0.01309
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.01927
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,5.77596
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00705
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,6.845
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,0.08
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.002
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,0.106
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.482
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,0.093
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.004
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,-0.99
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,6.748
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00749
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.123
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.859
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.0
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,5.63646
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.01772
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,7.898
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,-1.07544
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.071
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.072
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.438
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.051
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.789
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.112
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.0
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.699
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.539
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.06
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,5.593
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,-0.106
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.003
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,0.059
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,2.107
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,-0.18686
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,8.317
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.04
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.01385
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,4.66235
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00944
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.369
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,0.076
