Year,Series,Sex,Frequency,Age,Method used,Value
2019,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Natural family planning,16.8
2019,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Withdrawal,14.1
2019,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Contraceptive pill,8.8
2019,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Cap/diaphragm,0.3
2019,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Coil,4.3
2019,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Intra Uterine System,5.9
2019,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Condom,54
2019,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Natural family planning,37.5
2019,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Withdrawal,16.7
2019,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Contraceptive pill,2.8
2019,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Cap/diaphragm,1.4
2019,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Coil,0
2019,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Intra Uterine System,1.4
2019,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Condom,29.6
2019,Contraception method used among individuals who used contraception in the past 12 months,,,All Ages,Natural family planning,11.5
2019,Contraception method used among individuals who used contraception in the past 12 months,,,All Ages,Withdrawal,12.4
2019,Contraception method used among individuals who used contraception in the past 12 months,,,All Ages,Contraceptive pill,16.2
2019,Contraception method used among individuals who used contraception in the past 12 months,,,All Ages,Cap/diaphragm,0.1
2019,Contraception method used among individuals who used contraception in the past 12 months,,,All Ages,Coil,2.3
2019,Contraception method used among individuals who used contraception in the past 12 months,,,All Ages,Intra Uterine System,3
2019,Contraception method used among individuals who used contraception in the past 12 months,,,All Ages,Condom,64.4
