Year,Series,Type of Product,Units,Value
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,Tonnes,0.01048
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,Tonnes,0.0
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,Tonnes,0.57
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,Tonnes,0.0
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,Tonnes,0.00897
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,Tonnes,0.049
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,Tonnes,5.44786
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,Tonnes,3.649
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,Tonnes,6.654
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,Tonnes,0.005
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,Tonnes,0.517
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,Tonnes,0.002
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,Tonnes,0.00675
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,Tonnes,0.053
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,Tonnes,0.096
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,Tonnes,0.098
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,Tonnes,12.416
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,Tonnes,3.54699
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,Tonnes,0.117
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,Tonnes,0.633
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,Tonnes,1.102
2022,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,Tonnes,1.095
2022,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,Tonnes,0.296
2022,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,Tonnes,6.1
2022,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,Tonnes,3.382
2022,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,Tonnes,11.104
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",GAS,Kilograms per constant 2015 United States dollars,0.00149
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",PET,Kilograms per constant 2015 United States dollars,-0.02763
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",COL,Kilograms per constant 2015 United States dollars,0.0003
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",BIM,Kilograms per constant 2015 United States dollars,0.06664
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",CRO,Kilograms per constant 2015 United States dollars,0.03534
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",CPR,Kilograms per constant 2015 United States dollars,0.0
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",GBO,Kilograms per constant 2015 United States dollars,0.00577
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",WOD,Kilograms per constant 2015 United States dollars,0.00286
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",MEO,Kilograms per constant 2015 United States dollars,0.01082
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",FEO,Kilograms per constant 2015 United States dollars,0.0037
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",WCH,Kilograms per constant 2015 United States dollars,0.00048
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMA,Kilograms per constant 2015 United States dollars,0.00054
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMC,Kilograms per constant 2015 United States dollars,0.24173
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",ALP,Kilograms per constant 2015 United States dollars,0.34871
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMM,Kilograms per constant 2015 United States dollars,0.28027
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",FOF,Kilograms per constant 2015 United States dollars,-0.02308
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NFO,Kilograms per constant 2015 United States dollars,0.00031
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",ONT,Kilograms per constant 2015 United States dollars,0.00035
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",GBO,Kilograms per constant 2015 United States dollars,0.00694
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",CPR,Kilograms per constant 2015 United States dollars,0.0
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",CRO,Kilograms per constant 2015 United States dollars,0.03449
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",BIM,Kilograms per constant 2015 United States dollars,0.06482
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",WCH,Kilograms per constant 2015 United States dollars,0.00122
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",COL,Kilograms per constant 2015 United States dollars,0.00028
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",GAS,Kilograms per constant 2015 United States dollars,0.00272
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMA,Kilograms per constant 2015 United States dollars,0.00041
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",FEO,Kilograms per constant 2015 United States dollars,0.00012
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",MEO,Kilograms per constant 2015 United States dollars,0.00778
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",WOD,Kilograms per constant 2015 United States dollars,0.00288
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",ONT,Kilograms per constant 2015 United States dollars,0.0
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NFO,Kilograms per constant 2015 United States dollars,0.0002
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",FOF,Kilograms per constant 2015 United States dollars,0.09844
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMM,Kilograms per constant 2015 United States dollars,0.27661
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",PET,Kilograms per constant 2015 United States dollars,0.09387
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",ALP,Kilograms per constant 2015 United States dollars,0.45731
2011,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMC,Kilograms per constant 2015 United States dollars,0.24189
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMA,Kilograms per constant 2015 United States dollars,0.00092
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",GAS,Kilograms per constant 2015 United States dollars,0.00294
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMC,Kilograms per constant 2015 United States dollars,0.2269
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",WCH,Kilograms per constant 2015 United States dollars,0.0018
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",BIM,Kilograms per constant 2015 United States dollars,0.07045
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",CRO,Kilograms per constant 2015 United States dollars,0.03526
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",GBO,Kilograms per constant 2015 United States dollars,0.00613
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",WOD,Kilograms per constant 2015 United States dollars,0.00249
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",MEO,Kilograms per constant 2015 United States dollars,0.00532
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",ALP,Kilograms per constant 2015 United States dollars,0.50026
